id,title,description,link,image_link,price,availability,condition,brand,google_product_category,identifier_exists
STQ-4556706577,Pair Antique Florentine Gilt Nightstands Bedside Tables Gold White Painted Wood Italian Baroque Style Set of 2 Rare Vintage,"A rare matching pair of Florentine-style bedside tables, ornately decorated in the Italian Baroque tradition. ✦ Set of two — sold together, rarely found as a matching pair ✦ Rich golden ground with hand-painted white scrollwork and cartouche motifs on all panels ✦ Each cabinet features two drawers with small dark metal knobs and elegantly shaped serpentine fronts ✦ Slender cabriole legs with gilded finish, characteristic of the Florentine decorative style ✦ Shows honest signs of age and use consistent with vintage condition — patina adds to their charm ✦ A stunning statement piece for a maximalist, baroque or Hollywood Regency bedroom Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556706577,https://i.etsystatic.com/60918070/r/il/a763fd/8455561366/il_fullxfull.8455561366_7ofo.jpg,987.53 EUR,in stock,used,Stantique25,Furniture,false
STQ-4556700941,D'Arceau Limoges Porcelain Plates: Les Femmes du Siècle Ganeau Fashion History Set,"A charming collection of vintage French porcelain collector plates from the iconic ""Les Femmes du Siècle"" (Women of the Century) series by D'Arceau-Limoges, designed by artist François Ganeau. ✦ Fine Limoges porcelain plates celebrating 20th-century fashion history and Paris couture ✦ Illustrated by François Ganeau, patronized by the Chambre Syndicale de la Couture Parisienne ✦ Vibrant hand-painted style artwork depicting iconic historical fashion eras ✦ Includes official limited edition numbering and French script story on the back ✦ Fitted with built-in wall-hanging wire mechanisms for easy display ✦ Ideal for gallery walls, fashion history lovers, or as a unique French vintage home accent Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556700941,https://i.etsystatic.com/60918070/r/il/91e328/8497214917/il_fullxfull.8497214917_a3jj.jpg,50.00 EUR,in stock,used,Stantique25,Home & Garden > Kitchen & Dining > Tableware > Dinnerware,false
STQ-4556706593,"Antique Art Nouveau Oil Lamp: Cast Iron Base, Clear Glass Font & Chimney (Jugendstil)","A charming antique oil lamp in the Art Nouveau (Jugendstil) style, featuring a beautifully ornamented cast iron base with flowing floral relief motifs. ✦ Cast iron pedestal base with elegant Art Nouveau floral relief decoration ✦ Clear pressed glass oil font / reservoir in a classic rounded form ✦ Original clear glass chimney in excellent condition ✦ Original wick mechanism with adjusting wheel intact ✦ Wonderful decorative piece with authentic vintage patina ✦ Ideal for period-style interiors, collectors or as a unique home accent Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556706593,https://i.etsystatic.com/60918070/r/il/0f4693/8442524680/il_fullxfull.8442524680_erdw.jpg,63.78 EUR,in stock,used,Stantique25,Home & Garden > Lighting > Lamps,false
STQ-4430608722,Early Victorian Papier-Mâché Pen Box c.1860 – Black Lacquered Flowers & Birds Antique Collectible,"Typical of the finest Victorian decorative arts, this early papier-mâché pen and stationery box, ca. 1860 (19th century), brings timeless elegance to any desk or display. The black lacquered ground is adorned with fine, colorful hand-painted floral vines and a bird motif, beautifully finished with gold decorative lines along the edges. The hinged lid opens to reveal a plain black interior — perfectly sized for storing pens and small stationery items. Condition is very good; the hand-painted decoration remains crisp and clear, with no visible rubbing. A lovely piece whether displayed in a vitrine, used as a functional desk accessory, or gifted to a collector of Victorian lacquerware. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4430608722,https://i.etsystatic.com/60918070/r/il/89ebfe/7540081678/il_fullxfull.7540081678_dk5t.jpg,75.00 EUR,in stock,used,Stantique25,Furniture,false
STQ-4556706607,"Vintage Nagel Stoff Modular Candleholders: Mid-Century Modern Space Age Design (Original Box, Candles)","Extremely rare vintage Nagel Stoff modular candleholder set, complete with original box, original styrofoam insert, and original unused candles. ✦ Iconic West German Mid-Century Modern design — modular ball-joint system by Nagel ✦ Chrome-plated metal construction in classic Space Age style ✦ Set includes multiple interlocking candleholder segments that can be arranged freely ✦ Original white taper candles included and appear unused ✦ Original retail box with Nagel Konzept branding and styrofoam packaging intact ✦ Good vintage condition — a highly collectible and increasingly rare complete set Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556706607,https://i.etsystatic.com/60918070/r/il/77b6c8/8436244194/il_fullxfull.8436244194_becd.jpg,297.89 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4429899102,Winterling Bavaria Coffee Service for 6 – Roses & Gold Porcelain Set,"Typical of the grand Bavarian porcelain tradition, this Winterling coffee service brings the opulence of a classic salon straight to your table. Elegant coffee service for 6 persons with opulent rose decor and richly gilded borders — a classic salon look, perfect for a formal coffee table, wedding, vintage tea party, or a collector's display. The complete set includes 6 cups, 6 saucers, 6 cake plates, 1 tall coffee/tea pot, 1 milk pitcher, and 1 lidded sugar bowl. White porcelain with surrounding, partly relief gold garlands, complemented by bold rose bouquets in red/pink and delicate blooms in light blue/green. Condition: very good overall — gilding largely strong with only minor typical wear at contact points; fine typical cutlery marks; no obvious chips or cracks visible. Please check the maker's mark/stamp in the photos for confirmation. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4429899102,https://i.etsystatic.com/60918070/r/il/8969f2/7536434464/il_fullxfull.7536434464_k7fe.jpg,175.00 EUR,in stock,used,Stantique25,Home & Garden > Kitchen & Dining > Tableware > Dinnerware,false
STQ-4494219607,Vintage Gobelin Needlepoint Kit Still Life Fruit & Candle – Original Unfinished Rare Craft Set,"Typical of the timeless still life tradition in decorative needlework, this complete vintage gobelin kit captures the warmth of a classic fruit and candle composition. A rare find in unused, original new-old-stock condition — the set includes a 100% cotton canvas (Stramin) with the motif pre-printed (image size approx. 30 × 40 cm), high-quality pure new wool embroidery yarn in all required colors, a real wood frame (approx. 36 × 46 cm), a needle, and instructions. The yarn remains in its original bundles and the canvas is completely unworked. The outer packaging shows only light storage marks from age — a testament to how carefully this piece has been kept. Perfect for a dedicated crafter ready to bring a rare vintage design to life, or as a collector's piece worthy of display in its own right. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4494219607,https://i.etsystatic.com/60918070/r/il/4a2b8d/7949186186/il_fullxfull.7949186186_jmn3.jpg,45.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4494224524,Vintage Gobelin Needlepoint Kit – Duck Pond Nature Motif (Unfinished),"Typical of the classic European gobelin craft kits beloved by needlepoint enthusiasts of past decades, this charming duck pond design captures the timeless nature motifs that defined the era. Complete vintage gobelin needlepoint kit with a charming duck pond nature motif — a rare find in unused, original new-old-stock condition. The set includes everything needed to stitch the classic design in half cross stitch: a 100% cotton canvas (Stramin) with the motif pre-printed (image size approx. 30 × 40 cm), high-quality pure new wool embroidery yarn in all required colors, a real wood frame (approx. 36 × 46 cm), a needle, and instructions. The yarn is still in its original bundles; the canvas is completely unworked. The outer packaging shows only light storage marks from age. Perfect for a dedicated crafter looking for a rare vintage design to complete, or as a collector's piece. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4494224524,https://i.etsystatic.com/60918070/r/il/30ee86/7949175838/il_fullxfull.7949175838_c17i.jpg,45.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4435881506,Steiff Teddy Bear – Yellow Flag & Button in Ear Vintage Gold Brown Collectible,"Typical of Steiff's most iconic collectible pieces, this golden brown plush teddy bear carries the brand's unmistakable mark of authenticity: the original ""Button in Ear"" paired with its yellow flag. Crafted in high-quality golden brown plush, the bear features dark button eyes, a hand-stitched nose, and fully jointed limbs — every detail a testament to classic Steiff craftsmanship. The yellow flag remains clearly legible, and the fur is well-kept, with only the lightest marks of age and use you'd expect from a cherished vintage piece. A timeless companion and an absolute must-have for dedicated Steiff collectors or as a touch of nostalgic character in your home. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4435881506,https://i.etsystatic.com/60918070/r/il/929930/7997122757/il_fullxfull.7997122757_sd0w.jpg,60.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4429852914,Vintage Copper Brass Teapot Small – Istanbul Stamp Strong Patina Antique Oriental Kettle,"Typical of the traditional bazaar copperware long traded in Istanbul's grand markets, this small vintage copper teapot carries the character of genuine age and daily use. It features a brass handle and brass spout paired with a classic, rounded form, a fitted lid, and a small knob on top. The piece is said to bear an Istanbul stamp, adding to its collector appeal. The surface displays pronounced patina, discoloration, and oxidation marks — all deeply authentic expressions of its antique copper character that only deepen its visual appeal. Due to the age and surface build-up, this teapot is best appreciated as a decorative piece or collector's item for copper ware enthusiasts rather than for active use. Condition: heavily used, with distinctive marks typical of its age — characterful and entirely authentic in appearance. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4429852914,https://i.etsystatic.com/60918070/r/il/7614b6/7584212031/il_fullxfull.7584212031_l519.jpg,35.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
